name_ID,name_orig,name_orig_for_lookup,google_name,name_compare,brief_desc,image_url,image_source,detailed_desc,desc_source
600,"Young, William J.",William J. Young,Bill Cosby,FALSE,American comedian,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwlkQbHzcF8Bdl1y0emwnPV3CUGWkRH1ES4EN9dCENtZsEJiCQ,https://commons.wikimedia.org/wiki/File:Bill_Cosby_-_USN.jpg,"William Henry Cosby Jr. is an American stand-up comedian, actor, author, and convicted sex offender. Cosby began his career as a stand-up comic at the hungry i in San Francisco during the 1960s. ",https://en.wikipedia.org/wiki/Bill_Cosby
601,"Adams, John Quincy",John Quincy Adams,John Quincy Adams,TRUE,6th U.S. President,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRhKB7rKdIzQCwZb-Ciwo7waJa-cER3X5C94DfRDTs5OgpBlS9P,https://commons.wikimedia.org/wiki/File:John_Quincy_Adams_-_copy_of_1843_Philip_Haas_Daguerreotype.jpg,"John Quincy Adams was an American statesman, diplomat, lawyer, and diarist who served as the sixth president of the United States, from 1825 to 1829. He previously served as the eighth United States Secretary of State from 1817 to 1825. ",https://en.wikipedia.org/wiki/John_Quincy_Adams
602,"Alda, Alan",Alan Alda,Alan Alda,TRUE,American actor,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT1-yTujl3-x2tjIebei2lYHoZk26SPYqEUzr2aycLCnlHz9xUc,https://commons.wikimedia.org/wiki/File:Alan_Alda_by_Bridget_Laudien_(cropped).jpg,"Alan Alda is an American actor, director, screenwriter, comedian, and author. A six-time Emmy Award and Golden Globe Award winner, he played Hawkeye Pierce in the war television series M*A*S*H. ",https://en.wikipedia.org/wiki/Alan_Alda
604,"Autry, Gene",Gene Autry,Gene Autry,TRUE,American singer,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRtvDIomiESKrfKJ7aMGRWs38hDaEUpfmXe2yAo5lhSDzYtv_rp,https://commons.wikimedia.org/wiki/File:Gene_Autry.JPG,"Orvon Grover ""Gene"" Autry, nicknamed The Singing Cowboy, was an American singer, songwriter, actor, musician, and rodeo performer who gained fame largely by singing in a crooning style on radio, in films, and on television for more than three decades beginning in the early 1930s. ",https://en.wikipedia.org/wiki/Gene_Autry
605,"Basie, Count",Count Basie,Count Basie,TRUE,American jazz pianist,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQfkh8XwcUTP5Q5ZfD8tnnS1Vrk0z8MU977iSa5Ur_8xOwZGt9w,https://commons.wikimedia.org/wiki/File:Count_Basie_portrait.jpg,"William James ""Count"" Basie was an American jazz pianist, organist, bandleader, and composer. In 1935, Basie formed his own jazz orchestra, the Count Basie Orchestra, and in 1936 took them to Chicago for a long engagement and their first recording. ",https://en.wikipedia.org/wiki/Count_Basie
606,"Berg, Charles I.",Charles I. Berg,Keanu Reeves,FALSE,Canadian actor,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRR1XdHmvoyWKa_ezpL82v97pNVucs2qtl3Sqb63H1Crs5p8OXb,https://commons.wikimedia.org/wiki/File:Keanu_Reeves_(crop_and_levels)_(cropped).jpg,"Keanu Charles Reeves is a Canadian actor. Born in Beirut, he grew up in Toronto. He began acting in theatre productions and in television films before making his feature film debut in Youngblood. ",https://en.wikipedia.org/wiki/Keanu_Reeves
608,"Brown, Jerry",Jerry Brown,Jerry Brown,TRUE,Former Governor of California,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSylmqsh2ARWvqMm3-4a_590bRKMPTtN6y-xCV63L4es878QHpA,https://commons.wikimedia.org/wiki/File:Edmund_G_Brown_Jr.jpg,Edmund Gerald Brown Jr. is an American politician who served as the 34th and 39th governor of California from 1975 to 1983 and from 2011 to 2019. ,https://en.wikipedia.org/wiki/Jerry_Brown
610,"Cardin, Pierre",Pierre Cardin,Pierre Cardin,TRUE,French-Italian fashion designer,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQ5go7z4jGMntMM-1Kb8TZVkwOYRSsPHkt_cq3zsvebDrnfQlEk,https://cs.m.wikipedia.org/wiki/Soubor:Pierre_Cardin_2010.jpg,"Pierre Cardin is an Italian-born naturalised-French fashion designer. He is known for his avant-garde style and his Space Age designs. He prefers geometric shapes and motifs, often ignoring the female form. He advanced into unisex fashions, sometimes experimental, and not always practical. He founded his fashion house in 1950 and introduced the ""bubble dress"" in 1954.
He was designated UNESCO Goodwill Ambassador in 1991 and FAO Goodwill Ambassador on 16 October 2009.",https://en.wikipedia.org/wiki/Pierre_Cardin
611,"Chaplin, Charlie",Charlie Chaplin,Charlie Chaplin,TRUE,Comic,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS_fIDJw094ABgs8RkBxi6YRTOiolDrXPlKasF8cIFZgYYkQMAA,https://commons.wikimedia.org/wiki/File:Charlie_Chaplin.jpg,"Sir Charles Spencer Chaplin KBE was an English comic actor, filmmaker, and composer who rose to fame in the era of silent film. ",https://en.wikipedia.org/wiki/Charlie_Chaplin
612,"Chavez-Thompson, Linda",Linda Chavez-Thompson,Linda Chavez-Thompson,TRUE,Political leader,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTbel_fJlgisZBVroHYAWoOgai8Wiv6OV0DbPplya189C3jhieE,https://en.wikipedia.org/wiki/Linda_Chavez-Thompson,"Linda Chavez-Thompson is a second-generation Mexican American and union leader. She was elected the executive vice-president of the AFL-CIO in 1995 and served until September 21, 2007. ",https://en.wikipedia.org/wiki/Linda_Chavez-Thompson
