,unitCode,decade,count
300,NMAfA,1850.0,1
298,NMAfA,1780.0,1
297,NMAfA,1700.0,1
296,NMAI,2200.0,1
295,NMAI,2020.0,1
122,FSA,1980.0,1
124,FSA,2010.0,1
375,SIA,1720.0,1
138,FSG,1810.0,1
0,AAA,1680.0,1
