Name,Name_ID,Category,Items,Img_path,wiki_brief,wiki_long,fill_check,border_check,Name_Display,Topics,Sub_Category,Name_Web,smithsonian_URL,google_URL
"Ruohomaa, Kosti",RuohomaaKosti,Work and Industry,117,,,,wi,wi,Kosti Ruohomaa,"Photography, Men, Older people, Women, Children, Agriculture, Farmers and Ranchers, Animals, Boys, Farms, Horses, Winter, Cattle, Smoking, Religion, Girls, Fishing, Nudity, grave, Wagons, Portraits, Musical instruments, Music, Monuments, Landscapes, Hiking, Workers, Church buildings, Cemetery, Beer, Birds, American Revolution (1775-1783), Newspapers, Schools, War, Reading, Monasticism, Military, Amusements, Beaches, Blacksmiths, Boy Scouts of America, Cats, Circus, Clowns, Clubs, Organizations & Societies, Cooking, Dogs, Food, French and Indian War (United States : 1754-1763), Games, Health & Medicine, Health Care", Photographic History,Kosti%20Ruohomaa,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Kosti%20Ruohomaa,https://www.google.com/search?q=Kosti%20Ruohomaa
"Head, Howard",HeadHoward,Cultural and Community Life,116,,,,ccl,ccl,Howard Head,"recreational, Inventions, Sports, Skiing, Tennis", Sport and Leisure,Howard%20Head,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Howard%20Head,https://www.google.com/search?q=Howard%20Head
"McGovern, George",McGovernGeorge,Political and Military History,116,images/31.jpg,American Politician,"George Stanley McGovern was an American politician, historian, U.S. representative, U.S. senator, and the Democratic Party presidential nominee in the 1972 presidential election.
McGovern grew up in Mitchell, South Dakota, where he was a renowned debater. He volunteered for the U.S. ",img,pmh,George McGovern,"Politics, Princeton Posters, History, Presidential, Politics, Wars, Social reformers, Peace movements, Politics, Social reformers, Presidential Campaign of 1972, Politics, Government, Social reformers, Women, Politics, Wars, Peace movements, Presidents, Presidential Campaign of 1972, Buttons, Badges, Ribbons, History, Reform Movements, Black, Civil Rights, Government, Civil rights, Social reformers, Government, Ecology, Princeton Posters, Advertising, Princeton Posters, Presidential Campaign of 1972, Buttons, Badges, Ribbons, Elections, Government, Peace, Peace movements, Politics, Presidential Campaign of 1972, Presidents, Princeton Posters, Social reformers, Vietnam War, Wars"," Political History, Campaign Collection",George%20McGovern,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=George%20McGovern,https://www.google.com/search?q=George%20McGovern
"Lincoln, Abraham",LincolnAbraham,Political and Military History,115,,,,pmh,pmh,Abraham Lincoln,"Government, Politics, Social reformers, Politics, Government, Social reformers, Assassination, Social reformers, Politics, Government, Princeton Posters, Photography, Photography, Assassination, Architecture, Historic Residences, Government, Politics, Social reformers, Government, Government, Presidents, Presidents, Presidents, Presidents, Presidents, Selections from the Abraham Lincoln Collection, Selections from the Abraham Lincoln Collection, Social reformers, Prohibition, Politics, Government, Assassination, National Symbols, National Symbols, Inaugurations, Elections, National Symbols, Selections from the Abraham Lincoln Collection, Social reformers, Politics, Government, Historic Preservation, Presidents, Assassination, Government, American Civil War (1861-1865), Civil War, 1861-1865, Civil rights, Clothing and dress, Dress accessories, Elections, History, Indian Peace Medal, Selections from the Abraham Lincoln Collection, Description and travel, Iowa Caucus 2008, Memorials, Music, Novelty, Politics, Presidential Campaign of 2008, Souvenirs, U.S. Capitol Building, Selections from the Abraham Lincoln Collection, Presidents, Social reformers, Government, Dress accessories, Politics, Clothing and dress, American Civil War (1861-1865), Civil War and Reconstruction, Civil War, 1861-1865, Military, ThinkFinity, Address, Animals, Assassination, Battle of Fort Sumter, 1861, Birds, Christmas, Clothing and dress, Dress accessories, Eagles, Education, Elections, Politics, Politics, Presidents, Presidents, Princeton Posters, Prisons, Selections from the Abraham Lincoln Collection, Slavery, Smoking, Social reformers, Social reformers, Social reformers, Souvenirs, Television, Thirteenth Amendment Passed, Politics, Numismatics, National Symbols, Government, Elections, Emancipation, Emancipation Proclamation (2), Flags, Funeral rites and ceremonies, Government, Government, Liberty Cap, Handball, History, Holidays, Inaugurations, Josiah K. Lilly Jr. Collection, Liberty, Tobacco Use, United States. Constitution, Voting, Women, Women's History, American Civil War (1861-1865), Children, Civil War, 1861-1865, Clothing and dress, Dress accessories, Elections, Gettysburg Address, Men, Military, Motion pictures, Music, Portraits, Portraits, Presidents, Selections from the Abraham Lincoln Collection, Advertising, Soldiers, Washington D.C., Women, Columbia (Symbolic character), Dress accessories, Government, Government, Medicine, Politics, Politics, Presidents, Princeton Posters, Selections from the Abraham Lincoln Collection, Social reformers, Social reformers, Clothing and dress, Civil War, 1861-1865, American Civil War (1861-1865), Mourning, Actors and actresses, Assassination, Buttons, Badges, Ribbons, Dance, Death, Government, Music, Musicians, Politics, Presidents, Presidents, Social reformers, Theater, Government, Politics, Presidents, Social reformers, American Civil War (1861-1865), Civil War, 1861-1865, Military, Amusements, Clothing and dress, Dress accessories, Presidents, Sports, Peace movements, Princeton Posters, Wars, Suffrage, Women, Civil War and Reconstruction, Emancipation, Emancipation Proclamation (2), Government, Historic Preservation, Military, Monuments, Music, Photography, Politics, Politics, Presidential Inauguration of 1861, Presidents, Princeton Posters, Prohibition, Selections from the Abraham Lincoln Collection, Civil War, 1861-1865, Antietam, Battle of, Md., 1862, Social reformers, American Civil War (1861-1865), Slavery, Transportation, Social reformers, American Civil War (1861-1865), Civil War, 1861-1865, Government, Models (representations), Patents, Politics"," Political History, General History Collection",Abraham%20Lincoln,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Abraham%20Lincoln,https://www.google.com/search?q=Abraham%20Lincoln
"Peixotto, Ernest Clifford",PeixottoErnestClifford,Political and Military History,115,images/33.jpg,American artist,"Ernest Clifford Peixotto was an American artist, illustrator, and author. Although he was known mainly for his murals and his travel literature, his artwork also regularly appeared in Scribner's Magazine. ",img,pmh,Ernest Clifford Peixotto,"Military, Combat Art, Official Art from the American Expeditionary Forces in World War I, World War I Art, World War, 1914-1918, Art, World War I Art, Official Art from the American Expeditionary Forces in World War I, Military, Combat Art, Church buildings, World War, 1914-1918, Art, Military, Planes, Architecture, Historic Residences, Combat Art, Flags, World War I Art, Trains, Official Art from the American Expeditionary Forces in World War I, Military, Medicine, Architecture, Armistice of November 11, 1918, Railroads, Religion, Trains, Architecture, Historic Residences, Battle of Belleau Wood, 1918, Church buildings, War"," Armed Forces History, Military",Ernest%20Clifford%20Peixotto,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Ernest%20Clifford%20Peixotto,https://www.google.com/search?q=Ernest%20Clifford%20Peixotto
"Ogden, H. A.",OgdenHA,Political and Military History,114,,,,pmh,pmh,H. A. Ogden,Princeton Posters," Armed Forces History, Military",H%20A%20Ogden,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=H%20A%20Ogden,https://www.google.com/search?q=H%20A%20Ogden
"Berman, Martin",BermanMartin,Medicine and Science,112,,,,ms,ms,Martin Berman,"Science, Regular-Faced Convex Polyhedra, Mathematics, Berman Models", Mathematics,Martin%20Berman,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Martin%20Berman,https://www.google.com/search?q=Martin%20Berman
"Johnson, Crockett",JohnsonCrockett,Medicine and Science,110,,,,ms,ms,Crockett Johnson,"Art, Mathematics, Science, Art, Mathematics, Mathematics, Art, Science, Emigration and immigration", Mathematics,Crockett%20Johnson,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Crockett%20Johnson,https://www.google.com/search?q=Crockett%20Johnson
"Negre, Charles",NegreCharles,Work and Industry,110,,,,wi,wi,Charles Negre,"Photography, Church buildings, Architecture, Religion, Angels, Animals, Cityscapes, Saints", Photographic History,Charles%20Negre,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Charles%20Negre,https://www.google.com/search?q=Charles%20Negre
"Carter, Jimmy",CarterJimmy,Political and Military History,107,images/37.jpg,39th U.S. President,"James Earl Carter Jr. is an American politician, philanthropist, and former farmer who served as the 39th president of the United States from 1977 to 1981. ",img,pmh,Jimmy Carter,"Politics, Princeton Posters, Politics, Government, Social reformers, Politics, Presidents, Presidents, Politics, Social reformers, Inaugurations, Government, Presidents, Elections, Government, Politics, Women, Music, Buttons, Badges, Ribbons, Advertising, Photography, Music, Elections, Government, Presidents, Environmental Buttons, Ecology, Inaugurations, Elections, Government, Inaugurations, Politics, Presidential Inauguration of 1977, Presidential Inauguration of 1977, Civil rights, Government, Government, Presidents, Princeton Posters, Social reformers, Social reformers, Women, Voting, Women's History, Social reformers, Social reformers, Princeton Posters, Costume, Architecture, Civil rights, Ecology, Princeton Posters, Elections, Government, Government, Politics, Politics, Presidents, Democratic National Convention of 1976, Economics, Politics, Protests, Social reformers, Government, Government, Nuclear power, Politics, Politics, Protests, Social reformers, Social reformers, Authors, Buttons, Badges, Ribbons, Dedication of the William J. Clinton Presidential Center, Democratic National Convention of 1980, Government, History, Inaugurations, Iowa Caucus 2008, Mass media, Music, Novelty, Politics, Presidential Campaign of 1980, Presidential Inauguration of 1977, Presidential Inauguration of 1977, Presidents, Presidents, Social reformers, Souvenirs, U.S. Capitol Building"," Political History, Campaign Collection",Jimmy%20Carter,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Jimmy%20Carter,https://www.google.com/search?q=Jimmy%20Carter
"Gasparro, Frank",GasparroFrank,Work and Industry,105,images/38.jpg,,"Frank Gasparro was the tenth Chief Engraver of the United States Mint, holding this position from February 23, 1965, to January 16, 1981. Before that, he was Assistant Engraver. He designed both sides of the Susan B. ",img,wi,Frank Gasparro,"Art, Art of Gasparro, Science, Art of Gasparro, Art, Science, Science, Art of Gasparro, Art, Souvenirs, Social reformers, U.S. Capitol Building, Presidents, Politics, Novelty, Inaugurations, Government, Buttons, Badges, Ribbons, Art, Art of Gasparro, Science", National Numismatic Collection,Frank%20Gasparro,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Frank%20Gasparro,https://www.google.com/search?q=Frank%20Gasparro
"Reagan, Ronald Wilson",ReaganRonaldWilson,Political and Military History,104,images/39.jpg,40th U.S. President,Ronald Wilson Reagan was an American politician who served as the 40th president of the United States from 1981 to 1989 and became a highly influential voice of modern conservatism. ,img,pmh,Ronald Wilson Reagan,"Politics, Presidents, Government, Funeral of Ronald Wilson Reagan, Conservatism, Politics, Seal of the President of the United States, Politics, Death, Social reformers, Politics, Social reformers, Government, Presidents, Republican Party (U.S. : 1854- ), Presidential Campaign of 2008, Government, Government, Presidents, Government, Princeton Posters, Princeton Posters, Presidents, Photography, LGBTQ Rights, Iowa Caucus 2012, HIV-AIDS, Politics, Social reformers, Iowa Caucus 2008, Politics, Mass media, Conservatism, Equal rights amendments, Foreign Policy, Funeral of Ronald Wilson Reagan, Funeral rites and ceremonies, Government, Government, Medal of Freedom, Newspapers, Politics, Presidents, Princeton Posters, Protest and Civil Disobedience, Social reformers, Social reformers, Elections, Civil rights, Women, Buttons, Badges, Ribbons, Social reformers, Republican Party (U.S. : 1854- ), Politics, Government, Elections, hotels, Social reformers, Social reformers, Politics, Government, Government, Princeton Posters, Politics, Social reformers, Presidential Campaign of 1984, Medal of Freedom, Health Care, Clothing and dress, Dress accessories, Fashion, First ladies, Funeral rites and ceremonies, Gay Rights, Gender issues, Government, Inaugurations, Minorities, Women's History, Women's Health, Washington D.C., Presidents, Nazi, Novelty, Nuclear warfare, Nuclear weapons, Politics, Presidential Campaign of 1980, Presidents' spouses, U.S. Capitol Building, Presidents--Election, Protests, Punk culture, Puppets, Social reformers, Souvenirs, Politics, Presidents, Social reformers, Politics, Inaugurations, Government, Civil rights, Equal rights amendments, Princeton Posters, Women, Women's History, Inaugurations, Memorabilia, Politics, Student protest, Princeton Posters, Protest and Civil Disobedience, Protests, Republican National Convention, Republican National Convention of 1976, Riots or Civil Disorder, Vietnam War, Wars, Presidential Campaign of 1980, Presidents, Political parties, Political Corruption, Discrimination in justice administration, Education, Elections, Inaugurations, Peace movements, Police Brutality, Presidential Campaign of 1984, Homeland Security, Politics, Presidential Campaign of 2008, Presidents, Republican Party (U.S. : 1854- ), State Government, Presidents, Photography, Diplomacy, Camp David, Political parties, Iran-Contra, March, Rally, Demonstration, or Other, March, Rally, Demonstration, or Other, Mass media, Mass media, Mass media, Political Action Committees, Politics, Presidential Campaign of 1980, Presidential Campaign of 2016, Presidential Inauguration of 1981, Presidential Inauguration of 1981, Presidents, Princeton Posters, Princeton Posters, Inaugurations, Impeachment, Homeland Security, History, Reform Movements, Black, Civil Rights, Anti-Immigration, Authors, Buttons, Badges, Ribbons, Buttons, Badges, Ribbons, Buttons, Badges, Ribbons, Citizenship, Clothing and dress, Dress accessories, Economics, Emigration and immigration, Emigration and immigration, Employment, Flags, Foreign Policy, Foreign Policy, Princeton Posters, Protest and Civil Disobedience, Protest and Civil Disobedience, Republican National Convention of 2016, Trials, Williamsburg Economic Summit, Government, Politics, Social reformers, Princeton Posters, Freedom, Government, Politics, Social reformers, Tea Party March on Washington, Motion pictures"," Political History, Campaign Collection",Ronald%20Wilson%20Reagan,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Ronald%20Wilson%20Reagan,https://www.google.com/search?q=Ronald%20Wilson%20Reagan
"Paul, Ron",PaulRon,Political and Military History,103,images/40.jpg,Former U.S. Representative,"Ronald Ernest Paul is an American author, physician, retired politician, and presidential candidate who served as the U.S. Representative for Texas's 22nd congressional district from 1976 to 1977 and again from 1979 to 1985, and for Texas's 14th congressional district from 1997 to 2013. ",img,pmh,Ron Paul,"Politics, Presidential Campaign of 2008, Presidents, Iowa Caucus 2008, Politics, Iowa Caucus 2012, Propaganda, Elections, Presidential Campaign of 2008, Presidents, Iowa Caucus 2012, Iowa Caucus 2008, Emigration and immigration, Propaganda, Elections, Homeland Security, Conservatism, Anti-Immigration, Voting, Deportation, Presidential Campaign of 2012, Princeton Posters, United States. Constitution, Farms, Children, Republican Party (U.S. : 1854- ), Republican National Convention of 2008, Homeland Security, Emigration and immigration, Citizenship, Anti-Immigration, Amnesty, Presidential Campaign of 2012, Citizenship, Firearms, Gun control, Holidays and Celebrations, general, Iowa Caucus 2008, Politics, Presidential Campaign of 2008, Presidents, Propaganda, Social Security, Taxes, Voting and Property Rights, Military, Senior citizens, Postal service, Medicine, Drugs, Abortion, Abortion, Amnesty, Animals, Buttons, Badges, Ribbons, Children, Presidents, Education, Politics, Presidential Campaign of 2008, Republican National Convention of 2008, Elections, Republican Party (U.S. : 1854- ), Buttons, Badges, Ribbons, Fund raising, Government, Libertarianism, Social reformers, social reform, Children, Bumper Stickers, Advertising"," Political History, Campaign Collection",Ron%20Paul,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Ron%20Paul,https://www.google.com/search?q=Ron%20Paul
"Romney, Mitt",RomneyMitt,Political and Military History,102,images/41.jpg,United States Senator,"Willard Mitt Romney is an American politician, businessman and former presidential candidate who has served as the junior United States senator from Utah since January 2019. ",img,pmh,Mitt Romney,"Politics, Presidents, Presidents, Presidential Campaign of 2008, Politics, Presidential Campaign of 2008, Iowa Caucus 2008, Elections, Propaganda, Princeton Posters, Iowa Caucus 2012, Elections, Republican National Convention of 2012, Presidents, Presidential Campaign of 2012, Politics, Campaign debates, Government, Social reformers, Iowa Caucus 2008, Emigration and immigration, Promotional Item, Government, Presidential Campaign of 2012, Homeland Security, Emigration and immigration, Homeland Security, Anti-Immigration, Anti-Immigration, Advertising, Deportation, Republican National Convention of 2012, Conservatism, Propaganda, Postal service, Voting, Republican Party (U.S. : 1854- ), Conservatism, Deportation, Economics, Veterans, Economics, Iowa Caucus 2012, Marriage, Voting, Postal service, Presidential Campaign of 2012, Republican Party (U.S. : 1854- ), Washington D.C., Politics, Political parties, Photography, Museums, Galleries, Gay Rights, Medicare, Conservatism, Anti-Immigration, Deportation, Education, Emigration and immigration, Health Care, Homeland Security, Politics, Presidential Campaign of 2008, Taxes, Anti-Immigration, Conservatism, Deportation, Economics, Emigration and immigration, Homeland Security, Politics, Presidential Campaign of 2008, Elections, Iowa Caucus 2008, Presidential Campaign of 2008, Presidents, Propaganda, Voting, Buttons, Badges, Ribbons, Elections, Government, Mormons. Church of Jesus Christ of Latter-Day Saints, Political Conventions, Politics, Presidents, Republican National Convention, Republican Party (U.S. : 1854- ), Social reformers, Amnesty, Gay Rights, Political Action Committees, Politics, Republican National Convention of 2008, Social reformers, Politics, Republican National Convention of 2012"," Political History, Campaign Collection",Mitt%20Romney,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Mitt%20Romney,https://www.google.com/search?q=Mitt%20Romney
"Horenstein, Henry",HorensteinHenry,Work and Industry,100,,,,wi,wi,Henry Horenstein,"Photography, Amusements, Music, Musical instruments, Art, Social life and customs, Family, Sports, Baseball, Transportation, Boys, Children, Gettysburg Bluegrass Festival, Latinos and Baseball, Men, Food habits, Food, Dance, Basketball, Beer, Berryville Bluegrass Festival, Little League, Renfro Valley Jamboree, Smoking, Sunday Morning Gospel Show, Theater", Photographic History,Henry%20Horenstein,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Henry%20Horenstein,https://www.google.com/search?q=Henry%20Horenstein
"Haines, Frank D.",HainesFrankD,Cultural and Community Life,98,,,"Frank D. Haines was a Justice of the Connecticut Supreme Court from 1925 to 1936.
Born in Colchester, Connecticut to David Haines and Amanda Taylor Haines, he was raised on a farm and attended Bacon Academy in that city. ",ccl,ccl,Frank D. Haines,"Puppets, Puppets, Advertising, Television, Advertising, Electricity, Electricity", Entertainment,Frank%20D%20Haines,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Frank%20D%20Haines,https://www.google.com/search?q=Frank%20D%20Haines
"Muray, Nickolas",MurayNickolas,Work and Industry,98,images/43.jpg,American photographer,Nickolas Muray was a Hungarian-born American photographer and Olympic saber fencer.,img,wi,Nickolas Muray,"Photography, Nickolas Muray, Actors and actresses, Theater, Advertising, Periodicals, Food, Motion pictures, Amusements, Portraits, Art, Dancers, Dance, Beer & Spirits, Government, Women, Social reformers, Presidents, Politics, Beer, whiskey, Military, Music, Musicians, Nudity, Puppets, Transportation, Movie Collection, Men, Inaugurations, Authors, Ballet, Cattle, Children, Flags", Photographic History,Nickolas%20Muray,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Nickolas%20Muray,https://www.google.com/search?q=Nickolas%20Muray
"Mondale, Walter F.",MondaleWalterF,Political and Military History,95,images/44.jpg,Former Vice President of the United States,"Walter Frederick Mondale is an American politician, diplomat and lawyer who served as the 42nd vice president of the United States from 1977 to 1981. ",img,pmh,Walter F. Mondale,"History, Presidential, Politics, Princeton Posters, Politics, Government, Social reformers, Politics, Government, Social reformers, Politics, Princeton Posters, Democratic National Convention of 1980, Politics, Government, Elections, Iowa, Politics, Presidential Campaign of 1980, Presidents, Smoking, Social reformers, Voting, Ecology, Environmental Buttons, Presidential Campaign of 1984, Presidential Campaign of 1984, Democratic National Convention of 1980, Elections, Government, Politics, Presidential Campaign of 1984, Presidents, Social reformers, Labor unions"," Political History, Campaign Collection",Walter%20F%20Mondale,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Walter%20F%20Mondale,https://www.google.com/search?q=Walter%20F%20Mondale
"Bush, Vannevar",BushVannevar,Medicine and Science,92,,,,ms,ms,Vannevar Bush,"Mathematics, Science, DELETE", Mathematics,Vannevar%20Bush,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Vannevar%20Bush,https://www.google.com/search?q=Vannevar%20Bush
"Wilson, G. W.",WilsonGW,Work and Industry,88,,,,wi,wi,G. W. Wilson,"Photography, Photography, Books and reading, Steamships, Transportation, Landscapes", Photographic History,G%20W%20Wilson,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=G%20W%20Wilson,https://www.google.com/search?q=G%20W%20Wilson
"Barber, Charles",BarberCharles,Work and Industry,86,,,,wi,wi,Charles Barber,"Engravers, Louisiana Purchase Exposition, War of 1812, Lewis and Clark Centennial Exposition, Exposition Universelle (1900), World's Columbian Exposition, Josiah K. Lilly Jr. Collection, Novelty, Buttons, Badges, Ribbons, Government, Inaugurations, Numismatics, Politics, Presidents, Social reformers, Souvenirs, U.S. Capitol Building, World's Columbian Exposition, Liberty, Exposition Universelle (1900)", National Numismatic Collection,Charles%20Barber,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Charles%20Barber,https://www.google.com/search?q=Charles%20Barber
"Ferris, Jean Leon Gerome",FerrisJeanLeonGerome,Work and Industry,86,images/47.jpg,American painter,"Jean Leon Gerome Ferris was an American painter best known for his series of 78 scenes from American history, entitled The Pageant of a Nation, the largest series of American historical paintings by a single artist.",img,wi,Jean Leon Gerome Ferris,"Art, Communications, Ferris Collection, Art, Portraits, Communications, Art, Animals, Ferris Collection, Music, Snakes, Music, Birds, Communications, Ferris Collection, Costume, Boats and boating, Military, Musical instruments, Portraits, Presidents, Portraits, Animals, Birds, Farms, Military, Prisoners of War, Rabbits, Sheep, Theater, Animals, printing shop", Graphic Arts,Jean%20Leon%20Gerome%20Ferris,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Jean%20Leon%20Gerome%20Ferris,https://www.google.com/search?q=Jean%20Leon%20Gerome%20Ferris
"Ford, Gerald R.",FordGeraldR,Political and Military History,84,images/49.jpg,38th U.S. President,Gerald Rudolph Ford Jr. was an American politician who served as the 38th president of the United States from August 1974 to January 1977. ,img,pmh,Gerald R. Ford,"Princeton Posters, Politics, History, Presidential, Politics, Politics, Presidents, Social reformers, Government, Republican National Convention of 1976, Government, Women, Economics, Politics, Elections, Political Caricatures, Politics, Princeton Posters, Presidents, Memorabilia, Politics, Advertising, Government, Government, Politics, Social reformers, Social reformers, Princeton Posters, Civil rights, March, Rally, Demonstration, or Other, Peace movements, Princeton Posters, Protest and Civil Disobedience, Social reformers, Vietnam War, Wars, Women, International Women's Year, Politics, Presidents, Social reformers, Women's History, Government, Elections, Presidential Campaign of 1980, Vice-Presidents, Elections, Government, Government, Presidential Campaign of 1972, Presidents, Presidents, Republican Party (U.S. : 1854- ), U.S. National Government, legislative branch"," Political History, Campaign Collection",Gerald%20R%20Ford,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Gerald%20R%20Ford,https://www.google.com/search?q=Gerald%20R%20Ford
"Washington, George",WashingtonGeorge,Political and Military History,83,images/50.jpg,1st U.S. President,"George Washington was an American political leader, military general, statesman, and founding father who served as the first president of the United States from 1789 to 1797. ",img,pmh,George Washington,"Government, Social reformers, Politics, History, Presidential, Social reformers, Politics, Novelty, Government, U.S. Capitol Building, Souvenirs, New York World's Fair (1964-1965), Presidents, History, Presidential, Military, Furnishings, Washington D.C., Politics, Presidents, Social reformers, Government, Indian Peace Medal, Revolution and the New Nation, American Revolution (1775-1783), Indian Peace Medal, National Symbols, Inaugurations, American Revolution Bicentennial (1976), World War, 1939-1945, Government, Government, Novelty, Photography, Politics, Postal service, Presidents, Social reformers, Souvenirs, U.S. Capitol Building, Presidents, Uniforms, Military, American Revolution (1775-1783), Art, Government, Government, Holidays, Politics, Politics, Social reformers, Social reformers, Souvenir Nation, Christmas, Photography, Inaugurations, Washington D.C., Presidents, Government, Alphabets, Children, Food Culture, Food habits, Lighting, Men, Portraits, Stars, American Revolution (1775-1783), American Revolution (1775-1783), Centennial Exhibition (1876 : Philadelphia, Pa.), Civil rights, Civil rights, Clothing and dress, Dress accessories, Elections, Elections, Engraving, Government, Inaugurations, International Exhibition, Lighting, Military, Social reformers, Politics, Presidents, Presidents, Princeton Posters, Revolution and the New Nation, Slavery, Social reformers, Voting, Voting, Yorktown Campaign, independence, Art, Communications, Dolls, Inaugurations, Men, U. S. Civil History, United States. Constitution, Presidents, Presidents, Social reformers, Social reformers, Washington D.C., Politics, Politics, National Symbols, Celebrations, National Symbols, Government, Government, Government, Masons, Memorials, Monuments, Books and reading, Buttons, Badges, Ribbons, Economics, Expositions, Food Culture, Music, Music, New York World's Fair (1939), Patriotism, Presidents, Princeton Posters, Theater, Washington Bicentennial, Washington D.C., American Revolution (1775-1783), western expansion, states rights, American Revolution (1775-1783), Canals, Foreign Policy, Indian Peace Medal, Military, U.S. National Government, executive branch, United States. Constitution, internal improvements, Amusements, Constitutional Convention of 1787, Foreign Policy, Government, Military, Military, Monuments, Mount Vernon, Music, Music, Musical instruments, Peace movements, Politics, Politics, Social reformers, Social reformers, Soldiers, Titian Ramsey Peale Collection, United Nations Conference, United States. Constitution, Wars, Washington Bicentennial, grave, American Revolution (1775-1783), Declaration of Independence (United States), Food, Presidents, Military, National Treasures exhibit, Presidents, Revolution and the New Nation"," Political History, General History Collection",George%20Washington,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=George%20Washington,https://www.google.com/search?q=George%20Washington
"Kaplan, Jerome",KaplanJerome,Work and Industry,82,,Costume designer,,wi,wi,Jerome Kaplan,"Art, Communications, Furnishings, Holidays, Christmas, Textiles, Pets, Women, Cats, Architecture, Toys, Religion, Philadelphia, Pennsylvania, Lithography, Kitchen utensils, Clocks", Graphic Arts,Jerome%20Kaplan,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Jerome%20Kaplan,https://www.google.com/search?q=Jerome%20Kaplan
"White House, The",WhiteHouseThe,Political and Military History,81,images/52.jpg,32nd U.S. President,"Franklin Delano Roosevelt, often referred to by his initials FDR, was an American politician who served as the 32nd president of the United States from 1933 until his death in 1945. ",img,pmh,The White House,"Government, Social reformers, Politics, Veterans, Holidays, Christmas, Presidents' spouses, Social reformers, Politics, Government, First ladies, Holidays and Celebrations, general, Social reformers, First ladies, Government, Politics, Presidents' spouses, Food, Celebrations, Women's History, Social reformers, Politics, Government, Diplomacy, Animals, Parades, Birds, Turkeys, Holidays and Celebrations, general, Memorials, Legislators, Inaugurations, Presidential Inauguration of 2005, Government, Princeton Posters, Presidents' spouses, Princeton Posters, Selections from the Abraham Lincoln Collection, Selections from the Abraham Lincoln Collection, Social reformers, Social reformers, Social reformers, Weddings, Presidents, Presidents, Politics, Government, First ladies, Government, Government, Politics, History, Reform Movements, Black, Civil Rights, History, White House, Inaugurations, Inaugurations, Parades, Politics, Social reformers, Art, Children, Government, Holidays and Celebrations, general, Literature, Politics, Veterans, Buttons, Badges, Ribbons, Democratic National Convention of 2008, Politics, Presidents, Automobiles, Government, Holidays and Celebrations, general, Holidays and Celebrations, general, Mass media, Politics, Social reformers, Transportation"," Political History, White House/First Ladies Collection",The%20White%20House,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=The%20White%20House,https://www.google.com/search?q=The%20White%20House
"Bordwell, Sally",BordwellSally,Work and Industry,78,,,,wi,wi,Sally Bordwell,"Carnivals, Photography, Tattooing, Women, Advertising, Magicians, Magic", Photographic History,Sally%20Bordwell,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Sally%20Bordwell,https://www.google.com/search?q=Sally%20Bordwell
"Cordry, Donald",CordryDonald,Cultural and Community Life,78,,,,ccl,ccl,Donald Cordry,"Puppets, Amusements", Entertainment,Donald%20Cordry,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Donald%20Cordry,https://www.google.com/search?q=Donald%20Cordry
"Copp, Jr., Samuel",CoppJrSamuel,Cultural and Community Life,75,,,,ccl,ccl,Samuel Jr. Copp,"Copp Collection, Communications, Copp Collection, Communications, Copp Collection, Communications, Copp Collection, Furnishings, Copp Collection, Christmas, Holidays, New Year's Day, Communications, Men, Furnishings", Domestic Life,Samuel%20Jr%20Copp,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Samuel%20Jr%20Copp,https://www.google.com/search?q=Samuel%20Jr%20Copp
