Name,Name_ID,Category,Items,Img_path,wiki_brief,wiki_long,fill_check,border_check,Name_Display,Topics,Sub_Category,Name_Web,smithsonian_URL,google_URL
"Francis, Joseph",FrancisJoseph,Work and Industry,5,images/633.jpg,Emperor of Austria,"Franz Joseph I or Francis Joseph I was Emperor of Austria, King of Hungary, Croatia, and Bohemia, and monarch of other states of the Austro-Hungarian Empire, from 2 December 1848 until his death. ",img,wi,Joseph Francis,"Transportation, On the Water exhibit, Transportation, Transportation, Naval History, Engineering, Architecture, On the Water exhibit, Engineering, Architecture", Maritime,Joseph%20Francis,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Joseph%20Francis,https://www.google.com/search?q=Joseph%20Francis
"Franklin, Benjamin",FranklinBenjamin,Political and Military History,5,,Fictional character,Franklin Benjamin Richards is a fictional character appearing in American comic books published by Marvel Comics. The character is usually depicted as a supporting character in Fantastic Four. ,pmh,pmh,Benjamin Franklin,"Religion, Communications, Alcohol, Photography, Temperance, Politics, Republican National Convention of 2000, Authors, Inventions, Men, Portraits, Declaration of Independence (United States), Clothing and dress, Dress accessories, Men, Numismatics, Franklin, Benjamin, Government, National Treasures exhibit, Politics, Social reformers"," Political History, Reform Movements Collection",Benjamin%20Franklin,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Benjamin%20Franklin,https://www.google.com/search?q=Benjamin%20Franklin
"Galle II, Cornelius",GalleIICornelius,Work and Industry,5,,,"Cornelius Galle or Cornelis Galle is the name of three engravers, father, son and grandson:
Cornelis Galle the Elder or Cornelis Galle I, 1576â€“1650
Cornelis Galle the Younger or Cornelis Galle II, 1615â€“1678
Cornelis Galle III, born 1642",wi,wi,Cornelius Galle II,"Art, Portraits, Clergy, Art, Communications, Marsh Collection, Mythology", Graphic Arts,Cornelius%20Galle%20II,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Cornelius%20Galle%20II,https://www.google.com/search?q=Cornelius%20Galle%20II
"Galle, Cristallerie d' Emile",GalleCristalleried'Emile,Cultural and Community Life,5,,,,ccl,ccl,Cristallerie d' Emile Galle,Art Glass, Ceramics and Glass,Cristallerie%20d'%20Emile%20Galle,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Cristallerie%20d'%20Emile%20Galle,https://www.google.com/search?q=Cristallerie%20d'%20Emile%20Galle
"Gansevoort, Peter",GansevoortPeter,Political and Military History,5,,American Politician,Peter Gansevoort Ten Eyck was an American politician who served as a U.S. Representative from New York from 1913 to 1915 and again from 1921 to 1923. He was a member of the Democratic Party.,pmh,pmh,Peter Gansevoort,"Military, American Revolution (1775-1783), Military, American Revolution (1775-1783), Military, Revolution and the New Nation, ThinkFinity"," Armed Forces History, Military",Peter%20Gansevoort,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Peter%20Gansevoort,https://www.google.com/search?q=Peter%20Gansevoort
"Garcia, Michael",GarciaMichael,Work and Industry,5,,,,wi,wi,Michael Garcia,"September 11th Attacks, Terrorism", Photographic History,Michael%20Garcia,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Michael%20Garcia,https://www.google.com/search?q=Michael%20Garcia
"Garfield, Lucretia Rudolph",GarfieldLucretiaRudolph,Political and Military History,5,images/637.jpg,Former First Lady of the United States,"Lucretia Garfield was the First Lady of the United States from March to September 1881, as the wife of James A. Garfield, the 20th President of the United States.
Born in Garrettsville, Ohio, Garfield first met her husband in 1849 at Geauga Seminary. After a long courtship, they married in 1858. They would eventually have seven children together, five of whom lived to adulthood. ",img,pmh,Lucretia Rudolph Garfield,"First ladies, Inaugurations, Presidents' spouses, First ladies, Inaugurations, Presidents' spouses, Social reformers, Presidential Inauguration of 1881, Government, Inaugurations, Politics"," Political History, General History Collection",Lucretia%20Rudolph%20Garfield,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Lucretia%20Rudolph%20Garfield,https://www.google.com/search?q=Lucretia%20Rudolph%20Garfield
"Gay, Catherine",GayCatherine,Cultural and Community Life,5,,,,ccl,ccl,Catherine Gay,Women, Costume,Catherine%20Gay,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Catherine%20Gay,https://www.google.com/search?q=Catherine%20Gay
"Gettings, Mary C. Morrison",GettingsMaryCMorrison,Work and Industry,5,,,,wi,wi,Mary C. Morrison Gettings,"Communications, Food, Communications, Food", Graphic Arts,Mary%20C%20Morrison%20Gettings,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Mary%20C%20Morrison%20Gettings,https://www.google.com/search?q=Mary%20C%20Morrison%20Gettings
"Gordon, George P.",GordonGeorgeP,Work and Industry,5,images/639.jpg,General,"Major-General Charles George Gordon CB, also known as Chinese Gordon, Gordon Pasha, and Gordon of Khartoum, was a British Army officer and administrator. He saw action in the Crimean War as an officer in the British Army. ",img,wi,George P. Gordon,"Printing Presses in the Graphic Arts Collection, Communications", Graphic Arts,George%20P%20Gordon,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=George%20P%20Gordon,https://www.google.com/search?q=George%20P%20Gordon
