Name,Name_ID,Name_Display,Category,fill_check,border_check,Items
"Muybridge, Eadweard",MuybridgeEadweard,Eadweard Muybridge,Work and Industry,wi,wi,2346
"Eickemeyer, Jr., Rudolf",EickemeyerJrRudolf,Rudolf Jr. Eickemeyer,Work and Industry,wi,wi,1742
"Wheeler, Albert Harry",WheelerAlbertHarry,Albert Harry Wheeler,Medicine and Science,ms,ms,1128
"Talbot, William Henry Fox",TalbotWilliamHenryFox,William Henry Fox Talbot,Work and Industry,wi,wi,836
"Avedon, Richard",AvedonRichard,Richard Avedon,Work and Industry,wi,wi,763
"Regan, Ken",ReganKen,Ken Regan,Work and Industry,wi,wi,684
"Nixon, Richard M.",NixonRichardM,Richard M. Nixon,Political and Military History,pmh,pmh,407
"Cox, George Collins",CoxGeorgeCollins,George Collins Cox,Work and Industry,wi,wi,357
"Ferris, Stephen James",FerrisStephenJames,Stephen James Ferris,Work and Industry,wi,wi,315
"Obama, Barack H.",ObamaBarackH,Barack H. Obama,Political and Military History,pmh,pmh,312
"Paul, Alice",PaulAlice,Alice Paul,Political and Military History,pmh,pmh,294
"Mersky, Leonard H.",MerskyLeonardH,Leonard H. Mersky,Work and Industry,wi,wi,254
"Peale, Titian Ramsay",PealeTitianRamsay,Titian Ramsay Peale,Work and Industry,wi,wi,243
"Beal, Gifford",BealGifford,Gifford Beal,Work and Industry,wi,wi,232
"Erwitt, Elliott",ErwittElliott,Elliott Erwitt,Work and Industry,wi,wi,215
"Hussey, Walter J.",HusseyWalterJ,Walter J. Hussey,Work and Industry,wi,wi,212
"James, Catalina Juliana Mason Myers",JamesCatalinaJulianaMasonMyers,Catalina Juliana Mason Myers James,Cultural and Community Life,ccl,ccl,211
"Levin, Floyd",LevinFloyd,Floyd Levin,Cultural and Community Life,ccl,ccl,205
"Kennedy, John F.",KennedyJohnF,John F. Kennedy,Political and Military History,pmh,pmh,198
"Kasebier, Gertrude",KasebierGertrude,Gertrude Kasebier,Work and Industry,wi,wi,194
"Bush, George W.",BushGeorgeW,George W. Bush,Political and Military History,pmh,pmh,185
"Gore, Jr., Albert A.",GoreJrAlbertA,Albert A. Jr. Gore,Political and Military History,pmh,pmh,184
"Law, Lisa",LawLisa,Lisa Law,Work and Industry,wi,wi,182
"Kennerly, David Hume",KennerlyDavidHume,David Hume Kennerly,Work and Industry,wi,wi,181
"Smith, J. Andre",SmithJAndre,J. Andre Smith,Political and Military History,pmh,pmh,181
"Chase, Joseph Cummings",ChaseJosephCummings,Joseph Cummings Chase,Political and Military History,pmh,pmh,178
"Eisenhower, Dwight D.",EisenhowerDwightD,Dwight D. Eisenhower,Political and Military History,pmh,pmh,178
"Weber, Martin J.",WeberMartinJ,Martin J. Weber,Work and Industry,wi,wi,173
"Wilkes, Charles",WilkesCharles,Charles Wilkes,Work and Industry,wi,wi,167
"Kennedy, Edward M.",KennedyEdwardM,Edward M. Kennedy,Political and Military History,pmh,pmh,162
"Baughman, J. Ross",BaughmanJRoss,J. Ross Baughman,Work and Industry,wi,wi,159
"Zalesky, Roy Joseph",ZaleskyRoyJoseph,Roy Joseph Zalesky,Work and Industry,wi,wi,158
"Hohner, M.",HohnerM,M. Hohner,Cultural and Community Life,ccl,ccl,157
"Goldwater, Barry",GoldwaterBarry,Barry Goldwater,Political and Military History,pmh,pmh,149
"McCain, John",McCainJohn,John McCain,Political and Military History,pmh,pmh,148
"Roosevelt, Franklin Delano",RooseveltFranklinDelano,Franklin Delano Roosevelt,Political and Military History,pmh,pmh,143
"Keppler, Victor",KepplerVictor,Victor Keppler,Work and Industry,wi,wi,137
"Walker, Diana",WalkerDiana,Diana Walker,Work and Industry,wi,wi,133
"Baker, Richard P.",BakerRichardP,Richard P. Baker,Medicine and Science,ms,ms,130
"Gardner, Alexander",GardnerAlexander,Alexander Gardner,Work and Industry,wi,wi,129
"Miller, Benjamin",MillerBenjamin,Benjamin Miller,Work and Industry,wi,wi,128
"Maroon, Fred J.",MaroonFredJ,Fred J. Maroon,Work and Industry,wi,wi,122
"Clinton, Bill",ClintonBill,Bill Clinton,Political and Military History,pmh,pmh,120
"Uzzle, Burk",UzzleBurk,Burk Uzzle,Work and Industry,wi,wi,119
"Johnson, Lyndon B.",JohnsonLyndonB,Lyndon B. Johnson,Political and Military History,pmh,pmh,117
"Ruohomaa, Kosti",RuohomaaKosti,Kosti Ruohomaa,Work and Industry,wi,wi,117
"Head, Howard",HeadHoward,Howard Head,Cultural and Community Life,ccl,ccl,116
"McGovern, George",McGovernGeorge,George McGovern,Political and Military History,pmh,pmh,116
"Lincoln, Abraham",LincolnAbraham,Abraham Lincoln,Political and Military History,pmh,pmh,115
"Peixotto, Ernest Clifford",PeixottoErnestClifford,Ernest Clifford Peixotto,Political and Military History,pmh,pmh,115
"Ogden, H. A.",OgdenHA,H. A. Ogden,Political and Military History,pmh,pmh,114
"Berman, Martin",BermanMartin,Martin Berman,Medicine and Science,ms,ms,112
"Johnson, Crockett",JohnsonCrockett,Crockett Johnson,Medicine and Science,ms,ms,110
"Negre, Charles",NegreCharles,Charles Negre,Work and Industry,wi,wi,110
"Carter, Jimmy",CarterJimmy,Jimmy Carter,Political and Military History,pmh,pmh,107
"Gasparro, Frank",GasparroFrank,Frank Gasparro,Work and Industry,wi,wi,105
"Reagan, Ronald Wilson",ReaganRonaldWilson,Ronald Wilson Reagan,Political and Military History,pmh,pmh,104
"Paul, Ron",PaulRon,Ron Paul,Political and Military History,pmh,pmh,103
"Romney, Mitt",RomneyMitt,Mitt Romney,Political and Military History,pmh,pmh,102
"Horenstein, Henry",HorensteinHenry,Henry Horenstein,Work and Industry,wi,wi,100
"Haines, Frank D.",HainesFrankD,Frank D. Haines,Cultural and Community Life,ccl,ccl,98
"Muray, Nickolas",MurayNickolas,Nickolas Muray,Work and Industry,wi,wi,98
"Mondale, Walter F.",MondaleWalterF,Walter F. Mondale,Political and Military History,pmh,pmh,95
"Bush, Vannevar",BushVannevar,Vannevar Bush,Medicine and Science,ms,ms,92
"Wilson, G. W.",WilsonGW,G. W. Wilson,Work and Industry,wi,wi,88
"Barber, Charles",BarberCharles,Charles Barber,Work and Industry,wi,wi,86
"Ferris, Jean Leon Gerome",FerrisJeanLeonGerome,Jean Leon Gerome Ferris,Work and Industry,wi,wi,86
"Johnson, Lyndon B. (Lyndon Baines)",JohnsonLyndonB(LyndonBaines),Lyndon B. (Lyndon Baines) Johnson,Political and Military History,pmh,pmh,85
"Ford, Gerald R.",FordGeraldR,Gerald R. Ford,Political and Military History,pmh,pmh,84
"Washington, George",WashingtonGeorge,George Washington,Political and Military History,pmh,pmh,83
"Kaplan, Jerome",KaplanJerome,Jerome Kaplan,Work and Industry,wi,wi,82
"White House, The",WhiteHouseThe,The White House,Political and Military History,pmh,pmh,81
"Bordwell, Sally",BordwellSally,Sally Bordwell,Work and Industry,wi,wi,78
"Cordry, Donald",CordryDonald,Donald Cordry,Cultural and Community Life,ccl,ccl,78
"Copp, Jr., Samuel",CoppJrSamuel,Samuel Jr. Copp,Cultural and Community Life,ccl,ccl,75
"Sonntag, Kenneth G.",SonntagKennethG,Kenneth G. Sonntag,Political and Military History,pmh,pmh,72
"Kerry, John F.",KerryJohnF,John F. Kerry,Political and Military History,pmh,pmh,70
"Clinton, Hillary Rodham",ClintonHillaryRodham,Hillary Rodham Clinton,Political and Military History,pmh,pmh,69
"Weingarten, Robert I.",WeingartenRobertI,Robert I. Weingarten,Work and Industry,wi,wi,68
"Baur, Max",BaurMax,Max Baur,Work and Industry,wi,wi,66
"Robinson, Henry R.",RobinsonHenryR,Henry R. Robinson,Cultural and Community Life,ccl,ccl,64
"Edwards, John",EdwardsJohn,John Edwards,Political and Military History,pmh,pmh,63
"Hill, Levi",HillLevi,Levi Hill,Work and Industry,wi,wi,63
"Mydans, Carl",MydansCarl,Carl Mydans,Work and Industry,wi,wi,63
"Bush, George",BushGeorge,George Bush,Political and Military History,pmh,pmh,62
"Furst, Moritz",FurstMoritz,Moritz Furst,Work and Industry,wi,wi,62
"Biden, Joe",BidenJoe,Joe Biden,Political and Military History,pmh,pmh,60
"Bridwell, Norman",BridwellNorman,Norman Bridwell,Cultural and Community Life,ccl,ccl,60
"Hart, Gary",HartGary,Gary Hart,Political and Military History,pmh,pmh,60
"Mink, Patricia A.",MinkPatriciaA,Patricia A. Mink,Political and Military History,pmh,pmh,60
"Humphrey, Hubert H.",HumphreyHubertH,Hubert H. Humphrey,Political and Military History,pmh,pmh,59
"Miller, William E.",MillerWilliamE,William E. Miller,Political and Military History,pmh,pmh,59
"Rinsland, George",RinslandGeorge,George Rinsland,Cultural and Community Life,ccl,ccl,59
"Boydell, John",BoydellJohn,John Boydell,Work and Industry,wi,wi,57
"Rogers, Jane",RogersJane,Jane Rogers,Work and Industry,wi,wi,57
"McCarthy, Eugene",McCarthyEugene,Eugene McCarthy,Political and Military History,pmh,pmh,56
"Henson, Jim",HensonJim,Jim Henson,Cultural and Community Life,ccl,ccl,55
"Stevenson, Adlai",StevensonAdlai,Adlai Stevenson,Political and Military History,pmh,pmh,54
"Mason, Catalina Juliana Myers",MasonCatalinaJulianaMyers,Catalina Juliana Myers Mason,Cultural and Community Life,ccl,ccl,53
"Morikawa, Kokichiro",MorikawaKokichiro,Kokichiro Morikawa,Work and Industry,wi,wi,53
"Szesko, Judith Jaidinger",SzeskoJudithJaidinger,Judith Jaidinger Szesko,Work and Industry,wi,wi,53
"Muybridge, Eadweard",MuybridgeEadweard,Eadweard Muybridge,Cultural and Community Life,ccl,ccl,52
"Reagan, Ronald",ReaganRonald,Ronald Reagan,Political and Military History,pmh,pmh,52
"Duke, Lucille Katherine",DukeLucilleKatherine,Lucille Katherine Duke,Cultural and Community Life,ccl,ccl,51
"Kennedy, Robert F.",KennedyRobertF,Robert F. Kennedy,Political and Military History,pmh,pmh,51
"Roosevelt, Theodore",RooseveltTheodore,Theodore Roosevelt,Political and Military History,pmh,pmh,51
"Bacon, Ruth",BaconRuth,Ruth Bacon,Political and Military History,pmh,pmh,50
"Fridrich, Elmer G.",FridrichElmerG,Elmer G. Fridrich,Work and Industry,wi,wi,50
"Levy, John",LevyJohn,John Levy,Cultural and Community Life,ccl,ccl,50
"Huckabee, Mike",HuckabeeMike,Mike Huckabee,Political and Military History,pmh,pmh,49
"King, Jr., Martin Luther",KingJrMartinLuther,Martin Luther Jr. King,Political and Military History,pmh,pmh,49
"Lloyd, John Uri",LloydJohnUri,John Uri Lloyd,Medicine and Science,ms,ms,49
"Nader, Ralph",NaderRalph,Ralph Nader,Political and Military History,pmh,pmh,49
"Tartt, Jr., Jo C.",TarttJrJoC,Jo C. Jr. Tartt,Work and Industry,wi,wi,49
"Trump, Donald J.",TrumpDonaldJ,Donald J. Trump,Political and Military History,pmh,pmh,49
"Agnew, Spiro T.",AgnewSpiroT,Spiro T. Agnew,Political and Military History,pmh,pmh,48
"Anthony, Susan B.",AnthonySusanB,Susan B. Anthony,Political and Military History,pmh,pmh,48
"Meggers, Edith R.",MeggersEdithR,Edith R. Meggers,Cultural and Community Life,ccl,ccl,48
"Copt, Terry R.",CoptTerryR,Terry R. Copt,Political and Military History,pmh,pmh,47
"Fassbender, Adolf",FassbenderAdolf,Adolf Fassbender,Work and Industry,wi,wi,47
"Gobrecht, Christian",GobrechtChristian,Christian Gobrecht,Work and Industry,wi,wi,47
"Obama, Michelle",ObamaMichelle,Michelle Obama,Political and Military History,pmh,pmh,46
"Johnson, Richard",JohnsonRichard,Richard Johnson,Political and Military History,pmh,pmh,45
"Totten, Ralph J.",TottenRalphJ,Ralph J. Totten,Work and Industry,wi,wi,45
"Jochum, Betsy",JochumBetsy,Betsy Jochum,Cultural and Community Life,ccl,ccl,44
"Morgan, George T.",MorganGeorgeT,George T. Morgan,Work and Industry,wi,wi,44
"Powers, Mark James",PowersMarkJames,Mark James Powers,Work and Industry,wi,wi,44
"Rubin, Edward",RubinEdward,Edward Rubin,Political and Military History,pmh,pmh,44
"Wallace, George",WallaceGeorge,George Wallace,Political and Military History,pmh,pmh,44
"Baillie, James S.",BaillieJamesS,James S. Baillie,Cultural and Community Life,ccl,ccl,43
"Caponigro, John Paul",CaponigroJohnPaul,John Paul Caponigro,Work and Industry,wi,wi,43
"Appel, Annie",AppelAnnie,Annie Appel,Work and Industry,wi,wi,42
"Aylward, William James",AylwardWilliamJames,William James Aylward,Political and Military History,pmh,pmh,42
"Kistler, Lynton R.",KistlerLyntonR,Lynton R. Kistler,Work and Industry,wi,wi,42
"Jackson, Jesse",JacksonJesse,Jesse Jackson,Political and Military History,pmh,pmh,41
"Kemp, Jack",KempJack,Jack Kemp,Political and Military History,pmh,pmh,41
"Martinez, Leopoldo",MartinezLeopoldo,Leopoldo Martinez,Cultural and Community Life,ccl,ccl,41
"Townsend, Harry",TownsendHarry,Harry Townsend,Political and Military History,pmh,pmh,41
"Nickerson, George Hathaway",NickersonGeorgeHathaway,George Hathaway Nickerson,Work and Industry,wi,wi,40
"Pflaeging, Sascha",PflaegingSascha,Sascha Pflaeging,Political and Military History,pmh,pmh,40
"Berryman, Clifford",BerrymanClifford,Clifford Berryman,Political and Military History,pmh,pmh,39
"Drew, Ed",DrewEd,Ed Drew,Work and Industry,wi,wi,39
"Dunn, Harvey Thomas",DunnHarveyThomas,Harvey Thomas Dunn,Political and Military History,pmh,pmh,39
"Glenn, John",GlennJohn,John Glenn,Political and Military History,pmh,pmh,39
"Presley, Elvis",PresleyElvis,Elvis Presley,Cultural and Community Life,ccl,ccl,39
"Rushton, Charles R.",RushtonCharlesR,Charles R. Rushton,Work and Industry,wi,wi,39
"Child, Julia",ChildJulia,Julia Child,Cultural and Community Life,ccl,ccl,38
"Kennedy, Jacqueline Bouvier",KennedyJacquelineBouvier,Jacqueline Bouvier Kennedy,Political and Military History,pmh,pmh,38
"Kucinich, Dennis",KucinichDennis,Dennis Kucinich,Political and Military History,pmh,pmh,38
"Wilson, Woodrow",WilsonWoodrow,Woodrow Wilson,Political and Military History,pmh,pmh,38
"Rudin, Bainet",RudinBainet,Bainet Rudin,Cultural and Community Life,ccl,ccl,37
"Card, Jr., Solomon A.",CardJrSolomonA,Solomon A. Jr. Card,Political and Military History,pmh,pmh,36
"Dean, Howard",DeanHoward,Howard Dean,Political and Military History,pmh,pmh,36
"Morgan, Wallace",MorganWallace,Wallace Morgan,Political and Military History,pmh,pmh,36
"Rathbone, Sarah",RathboneSarah,Sarah Rathbone,Cultural and Community Life,ccl,ccl,36
"Rose, Di Dootson",RoseDiDootson,Di Dootson Rose,Cultural and Community Life,ccl,ccl,36
"Unger, William",UngerWilliam,William Unger,Work and Industry,wi,wi,36
"Willkie, Wendell L.",WillkieWendellL,Wendell L. Willkie,Political and Military History,pmh,pmh,36
"Barmes, Elizabeth",BarmesElizabeth,Elizabeth Barmes,Political and Military History,pmh,pmh,35
"Giuliani, Rudy",GiulianiRudy,Rudy Giuliani,Political and Military History,pmh,pmh,35
"Mennie, Donald",MennieDonald,Donald Mennie,Work and Industry,wi,wi,35
"Agate, A. T.",AgateAT,A. T. Agate,Work and Industry,wi,wi,34
"Anderson, Paul L.",AndersonPaulL,Paul L. Anderson,Work and Industry,wi,wi,34
"Lauste, Eugene Augustin",LausteEugeneAugustin,Eugene Augustin Lauste,Work and Industry,wi,wi,34
"McKinley, William",McKinleyWilliam,William McKinley,Political and Military History,pmh,pmh,34
"Sentz, Norwood Lykes",SentzNorwoodLykes,Norwood Lykes Sentz,Political and Military History,pmh,pmh,34
"Truman, Harry S.",TrumanHarryS,Harry S. Truman,Political and Military History,pmh,pmh,34
"Clay, Edward Williams",ClayEdwardWilliams,Edward Williams Clay,Cultural and Community Life,ccl,ccl,33
"Easter, Dana",EasterDana,Dana Easter,Cultural and Community Life,ccl,ccl,33
"Jullien, A.",JullienA,A. Jullien,Medicine and Science,ms,ms,33
"Shriver, Sargent",ShriverSargent,Sargent Shriver,Political and Military History,pmh,pmh,33
"Steinbrenner, Carl",SteinbrennerCarl,Carl Steinbrenner,Political and Military History,pmh,pmh,33
"Jarvis, J. F.",JarvisJF,J. F. Jarvis,Work and Industry,wi,wi,32
"Landers, Frary & Clark",LandersFrary&Clark,Frary & Clark Landers,Cultural and Community Life,ccl,ccl,32
"Nast, Thomas",NastThomas,Thomas Nast,Political and Military History,pmh,pmh,32
"Sinatra, Frank",SinatraFrank,Frank Sinatra,Cultural and Community Life,ccl,ccl,32
"Hunter, Dard",HunterDard,Dard Hunter,Work and Industry,wi,wi,31
"Kido, Kotaro",KidoKotaro,Kotaro Kido,Work and Industry,wi,wi,31
"Landon, Alfred M.",LandonAlfredM,Alfred M. Landon,Political and Military History,pmh,pmh,31
"Leonard, Walter F.",LeonardWalterF,Walter F. Leonard,Cultural and Community Life,ccl,ccl,31
"Bachmann, Michele",BachmannMichele,Michele Bachmann,Political and Military History,pmh,pmh,30
"Bull, Clarence",BullClarence,Clarence Bull,Work and Industry,wi,wi,30
"Carter, Benny",CarterBenny,Benny Carter,Cultural and Community Life,ccl,ccl,30
"De Dienes, Andre",DeDienesAndre,Andre De Dienes,Work and Industry,wi,wi,30
"Harding, George Matthews",HardingGeorgeMatthews,George Matthews Harding,Political and Military History,pmh,pmh,30
"Rockefeller, Nelson",RockefellerNelson,Nelson Rockefeller,Political and Military History,pmh,pmh,30
"Santorum, Rick",SantorumRick,Rick Santorum,Political and Military History,pmh,pmh,30
"Schilling, Martin",SchillingMartin,Martin Schilling,Medicine and Science,ms,ms,30
"Schmitt, Paul",SchmittPaul,Paul Schmitt,Cultural and Community Life,ccl,ccl,30
"Sieverts, June Ayres Lane",SievertsJuneAyresLane,June Ayres Lane Sieverts,Cultural and Community Life,ccl,ccl,30
"Stevenson, Andrew",StevensonAndrew,Andrew Stevenson,Cultural and Community Life,ccl,ccl,30
"Waters, Alice",WatersAlice,Alice Waters,Work and Industry,wi,wi,30
"Audubon, John James",AudubonJohnJames,John James Audubon,Cultural and Community Life,ccl,ccl,29
"Copp, Esther",CoppEsther,Esther Copp,Cultural and Community Life,ccl,ccl,29
"Hassam, Childe",HassamChilde,Childe Hassam,Work and Industry,wi,wi,29
"Moran, Mary Nimmo",MoranMaryNimmo,Mary Nimmo Moran,Work and Industry,wi,wi,29
"Newman, Arnold",NewmanArnold,Arnold Newman,Work and Industry,wi,wi,29
"Stanton, Elizabeth Cady",StantonElizabethCady,Elizabeth Cady Stanton,Political and Military History,pmh,pmh,29
"Amsterdam, Ruth Samson",AmsterdamRuthSamson,Ruth Samson Amsterdam,Cultural and Community Life,ccl,ccl,28
"Blossfeldt, Karl",BlossfeldtKarl,Karl Blossfeldt,Work and Industry,wi,wi,28
"Bush, Laura Welch",BushLauraWelch,Laura Welch Bush,Political and Military History,pmh,pmh,28
"Harrison, William B.",HarrisonWilliamB,William B. Harrison,Political and Military History,pmh,pmh,28
"Havel, Laurie Lewis",HavelLaurieLewis,Laurie Lewis Havel,Cultural and Community Life,ccl,ccl,28
"Jonrowe, DeeDee",JonroweDeeDee,DeeDee Jonrowe,Cultural and Community Life,ccl,ccl,28
"Lieberman, Joseph I.",LiebermanJosephI,Joseph I. Lieberman,Political and Military History,pmh,pmh,28
"Occi, James L.",OcciJamesL,James L. Occi,Work and Industry,wi,wi,28
"Potoksky, Douglas",PotokskyDouglas,Douglas Potoksky,Work and Industry,wi,wi,28
"Schile, Henry",SchileHenry,Henry Schile,Cultural and Community Life,ccl,ccl,28
"Stubbs, Joseph",StubbsJoseph,Joseph Stubbs,Cultural and Community Life,ccl,ccl,28
"Taft, William H.",TaftWilliamH,William H. Taft,Political and Military History,pmh,pmh,28
"Watts, Susan C.",WattsSusanC,Susan C. Watts,Work and Industry,wi,wi,28
"Babson, Jane McCall",BabsonJaneMcCall,Jane McCall Babson,Work and Industry,wi,wi,27
"Bennett, Jr., Louis",BennettJrLouis,Louis Jr. Bennett,Political and Military History,pmh,pmh,27
"Berlin, Irving",BerlinIrving,Irving Berlin,Cultural and Community Life,ccl,ccl,27
"Bryan, William Jennings",BryanWilliamJennings,William Jennings Bryan,Political and Military History,pmh,pmh,27
"Fortuny y Carbo, Mariano",FortunyyCarboMariano,Mariano Fortuny y Carbo,Work and Industry,wi,wi,27
"Harrison, Benjamin",HarrisonBenjamin,Benjamin Harrison,Political and Military History,pmh,pmh,27
"Makovenyi, Nadya",MakovenyiNadya,Nadya Makovenyi,Cultural and Community Life,ccl,ccl,27
"Napier, John",NapierJohn,John Napier,Cultural and Community Life,ccl,ccl,27
"Adams, Ansel",AdamsAnsel,Ansel Adams,Work and Industry,wi,wi,26
"Brewer, Joe",BrewerJoe,Joe Brewer,Political and Military History,pmh,pmh,26
"Lantz, Walter",LantzWalter,Walter Lantz,Cultural and Community Life,ccl,ccl,26
"Levy, Seymour",LevySeymour,Seymour Levy,Work and Industry,wi,wi,26
"Miller, Leonard W.",MillerLeonardW,Leonard W. Miller,Cultural and Community Life,ccl,ccl,26
"Nakamura, Tsurusaburo",NakamuraTsurusaburo,Tsurusaburo Nakamura,Work and Industry,wi,wi,26
"North, Simeon",NorthSimeon,Simeon North,Political and Military History,pmh,pmh,26
"Osborne, Jimmie",OsborneJimmie,Jimmie Osborne,Cultural and Community Life,ccl,ccl,26
"Pell, Alfred Duane",PellAlfredDuane,Alfred Duane Pell,Cultural and Community Life,ccl,ccl,26
"Pershing, John J.",PershingJohnJ,John J. Pershing,Political and Military History,pmh,pmh,26
"Richardson III, William Blaine",RichardsonIIIWilliamBlaine,William Blaine Richardson III,Political and Military History,pmh,pmh,26
"Scheer, A.",ScheerA,A. Scheer,Cultural and Community Life,ccl,ccl,26
"Stevenson, Ralph",StevensonRalph,Ralph Stevenson,Cultural and Community Life,ccl,ccl,26
"Weston, Edward",WestonEdward,Edward Weston,Work and Industry,wi,wi,26
"Cheney, Richard B.",CheneyRichardB,Richard B. Cheney,Political and Military History,pmh,pmh,25
"Cleveland, Grover",ClevelandGrover,Grover Cleveland,Political and Military History,pmh,pmh,25
"Connell, Will",ConnellWill,Will Connell,Work and Industry,wi,wi,25
"Duncan, Walter Jack",DuncanWalterJack,Walter Jack Duncan,Political and Military History,pmh,pmh,25
"Ehrlich, Richard",EhrlichRichard,Richard Ehrlich,Work and Industry,wi,wi,25
"Ellington, Duke",EllingtonDuke,Duke Ellington,Cultural and Community Life,ccl,ccl,25
"Godwin, Thomas",GodwinThomas,Thomas Godwin,Cultural and Community Life,ccl,ccl,25
"Johnston, Frances B.",JohnstonFrancesB,Frances B. Johnston,Work and Industry,wi,wi,25
"Perot, H. Ross",PerotHRoss,H. Ross Perot,Political and Military History,pmh,pmh,25
"Priestley, Joseph",PriestleyJoseph,Joseph Priestley,Medicine and Science,ms,ms,25
"Robinson, Adina Mae Via",RobinsonAdinaMaeVia,Adina Mae Via Robinson,Cultural and Community Life,ccl,ccl,25
"Sherman, William Tecumseh",ShermanWilliamTecumseh,William Tecumseh Sherman,Political and Military History,pmh,pmh,25
"Cruikshank, George",CruikshankGeorge,George Cruikshank,Cultural and Community Life,ccl,ccl,24
"Hecht, Suann M.",HechtSuannM,Suann M. Hecht,Political and Military History,pmh,pmh,24
"Kefauver, Estes",KefauverEstes,Estes Kefauver,Political and Military History,pmh,pmh,24
"Lycett, Edward",LycettEdward,Edward Lycett,Cultural and Community Life,ccl,ccl,24
"Patterson, Mary Marvin Breckinridge",PattersonMaryMarvinBreckinridge,Mary Marvin Breckinridge Patterson,Cultural and Community Life,ccl,ccl,24
"Washington, Mary Anne Hammond",WashingtonMaryAnneHammond,Mary Anne Hammond Washington,Cultural and Community Life,ccl,ccl,24
"Agnew, Spiro",AgnewSpiro,Spiro Agnew,Political and Military History,pmh,pmh,23
"Basch, Peter",BaschPeter,Peter Basch,Work and Industry,wi,wi,23
"Cheney, Lynne",CheneyLynne,Lynne Cheney,Political and Military History,pmh,pmh,23
"Davis, Alexander Jackson",DavisAlexanderJackson,Alexander Jackson Davis,Cultural and Community Life,ccl,ccl,23
"Grant, Ulysses S. (Ulysses Simpson)",GrantUlyssesS(UlyssesSimpson),Ulysses S. (Ulysses Simpson) Grant,Political and Military History,pmh,pmh,23
"Quayle, Dan",QuayleDan,Dan Quayle,Political and Military History,pmh,pmh,23
"Smith, Kline & French Laboratories",SmithKline&FrenchLaboratories,Kline & French Laboratories Smith,Medicine and Science,ms,ms,23
"Smothers, Thomas B.",SmothersThomasB,Thomas B. Smothers,Cultural and Community Life,ccl,ccl,23
"Templin, Ella Rice",TemplinEllaRice,Ella Rice Templin,Cultural and Community Life,ccl,ccl,23
"von Martens, Friedrich",vonMartensFriedrich,Friedrich von Martens,Work and Industry,wi,wi,23
"Washington, George",WashingtonGeorge,George Washington,Work and Industry,wi,wi,23
"Brett-Surman, Kenneth Hayton",Brett-SurmanKennethHayton,Kenneth Hayton Brett-Surman,Work and Industry,wi,wi,22
"Drayton, Joseph",DraytonJoseph,Joseph Drayton,Work and Industry,wi,wi,22
"Gingrich, Newt",GingrichNewt,Newt Gingrich,Political and Military History,pmh,pmh,22
"Gosar, Ivan",GosarIvan,Ivan Gosar,Cultural and Community Life,ccl,ccl,22
"Harrison, William",HarrisonWilliam,William Harrison,Political and Military History,pmh,pmh,22
"Hoover, Herbert",HooverHerbert,Herbert Hoover,Political and Military History,pmh,pmh,22
"Lincoln, Abraham",LincolnAbraham,Abraham Lincoln,Work and Industry,wi,wi,22
"Mahler, John",MahlerJohn,John Mahler,Cultural and Community Life,ccl,ccl,22
"Ross, W. W.",RossWW,W. W. Ross,Medicine and Science,ms,ms,22
"Sherman, C.",ShermanC,C. Sherman,Work and Industry,wi,wi,22
"Biddle, Jr., Ambassador Anthony Joseph Drexel",BiddleJrAmbassadorAnthonyJosephDrexel,Ambassador Anthony Joseph Drexel Jr. Biddle,Cultural and Community Life,ccl,ccl,21
"Draper, John William",DraperJohnWilliam,John William Draper,Work and Industry,wi,wi,21
"Faupel, Leonard",FaupelLeonard,Leonard Faupel,Cultural and Community Life,ccl,ccl,21
"Garfield, James A.",GarfieldJamesA,James A. Garfield,Political and Military History,pmh,pmh,21
"Hine, Lewis",HineLewis,Lewis Hine,Work and Industry,wi,wi,21
"Jackson, Andrew",JacksonAndrew,Andrew Jackson,Political and Military History,pmh,pmh,21
"Kunin, Claudia",KuninClaudia,Claudia Kunin,Work and Industry,wi,wi,21
"Law, Lisa Bachelis",LawLisaBachelis,Lisa Bachelis Law,Work and Industry,wi,wi,21
"Marx, Groucho",MarxGroucho,Groucho Marx,Cultural and Community Life,ccl,ccl,21
"Mintz, Charles J.",MintzCharlesJ,Charles J. Mintz,Work and Industry,wi,wi,21
"Nicholson, James B.",NicholsonJamesB,James B. Nicholson,Political and Military History,pmh,pmh,21
"Roane, Mary Llewellyn",RoaneMaryLlewellyn,Mary Llewellyn Roane,Medicine and Science,ms,ms,21
"Robinson, Boardman",RobinsonBoardman,Boardman Robinson,Work and Industry,wi,wi,21
"Smith, Howard K.",SmithHowardK,Howard K. Smith,Political and Military History,pmh,pmh,21
"Stanley-Brown, Rudolph",Stanley-BrownRudolph,Rudolph Stanley-Brown,Political and Military History,pmh,pmh,21
"Tancredo, Tom",TancredoTom,Tom Tancredo,Political and Military History,pmh,pmh,21
"Thompson, Fred",ThompsonFred,Fred Thompson,Political and Military History,pmh,pmh,21
"Blaszczyk, Regina",BlaszczykRegina,Regina Blaszczyk,Cultural and Community Life,ccl,ccl,20
"Brauch, Tim",BrauchTim,Tim Brauch,Cultural and Community Life,ccl,ccl,20
"Bucher, William F.",BucherWilliamF,William F. Bucher,Work and Industry,wi,wi,20
"Clark, Wesley",ClarkWesley,Wesley Clark,Political and Military History,pmh,pmh,20
"Jennings, A. G.",JenningsAG,A. G. Jennings,Cultural and Community Life,ccl,ccl,20
